dataset,epsilon,ari,nmi,utility_loss_ari,utility_loss_nmi
Iris,0.0,0.5091117442027024,0.5748508203355167,0.0,0.0
Iris,0.1,0.5263990565087949,0.6234910299692145,-0.017287312306092484,-0.04864020963369775
Iris,0.25,0.5263990565087949,0.6234910299692145,-0.017287312306092484,-0.04864020963369775
Iris,0.5,0.5263990565087949,0.6234910299692145,-0.017287312306092484,-0.04864020963369775
Iris,0.75,0.5263990565087949,0.6234910299692145,-0.017287312306092484,-0.04864020963369775
Iris,1.0,0.374489774829236,0.45915518622216644,0.13462196937346643,0.11569563411335027
Iris,2.0,0.36618834358680324,0.45342995783800977,0.1429234006158992,0.12142086249750694
Iris,5.0,0.23883959438431993,0.26989212219151126,0.27027214981838255,0.30495869814400545
Iris,10.0,0.2468537445773303,0.2775457596989515,0.2622579996253721,0.2973050606365652
Wine,0.0,0.3218655588722124,0.3113282949965765,0.0,0.0
Wine,0.1,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,0.25,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,0.5,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,0.75,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,1.0,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,2.0,0.51015101891378,0.5347202860893356,-0.1882854600415676,-0.22339199109275915
Wine,5.0,0.30007882104511885,0.27293889617234,0.02178673782709356,0.038389398824236476
Wine,10.0,0.30007882104511885,0.27293889617234,0.02178673782709356,0.038389398824236476
Breast Cancer,0.0,0.6209758138074809,0.5014871930638052,0.0,0.0
Breast Cancer,0.1,0.095743764455824,0.06022331372487694,0.5252320493516569,0.44126387933892824
Breast Cancer,0.25,0.08720346168351278,0.05468272320975286,0.5337723521239681,0.4468044698540523
Breast Cancer,0.5,0.08720346168351278,0.05468272320975286,0.5337723521239681,0.4468044698540523
Breast Cancer,0.75,0.08516343535784825,0.05349733440377201,0.5358123784496327,0.44798985866003316
Breast Cancer,1.0,0.08115432638980113,0.05117599204763495,0.5398214874176798,0.4503112010161702
Breast Cancer,2.0,0.08115432638980113,0.05117599204763495,0.5398214874176798,0.4503112010161702
Breast Cancer,5.0,0.07905662445135721,0.04943629926925754,0.5419191893561237,0.45205089379454766
Breast Cancer,10.0,0.07905662445135721,0.04943629926925754,0.5419191893561237,0.45205089379454766
